effect	qualified_name	canonical_type	inferred_effect	inference_basis	override_reason
r	Rf_charIsASCII	Rboolean (struct SEXPREC *)	r	rule:r-header+rule:reviewed-c-api	
r	Rf_coerceVector	struct SEXPREC *(struct SEXPREC *, unsigned int)	r	rule:r-header+rule:reviewed-c-api	
r	Rf_error	void (const char *, ...)	r	rule:r-header+rule:reviewed-c-api	
r	Rf_eval	struct SEXPREC *(struct SEXPREC *, struct SEXPREC *)	r	rule:r-header+rule:reviewed-c-api	
r	Rf_getAttrib	struct SEXPREC *(struct SEXPREC *, struct SEXPREC *)	r	rule:r-header+rule:reviewed-c-api	
r	Rf_getCharCE	cetype_t (struct SEXPREC *)	r	rule:r-header+rule:reviewed-c-api	
r	Rf_install	struct SEXPREC *(const char *)	r	rule:r-header+rule:reviewed-c-api	
r	Rf_isFactor	Rboolean (struct SEXPREC *)	r	rule:r-header+rule:reviewed-c-api	
neutral	Rf_isInteger	Rboolean (struct SEXPREC *)	r	rule:r-header+rule:reviewed-c-api	R type predicate does not allocate or signal an R error.
neutral	Rf_isLogical	Rboolean (struct SEXPREC *)	r	rule:r-header+rule:reviewed-c-api	R type predicate does not allocate or signal an R error.
r	Rf_isMatrix	Rboolean (struct SEXPREC *)	r	rule:r-header+rule:reviewed-c-api	
r	Rf_isNull	Rboolean (struct SEXPREC *)	r	rule:r-header+rule:reviewed-c-api	
neutral	Rf_isObject	Rboolean (struct SEXPREC *)	r	rule:r-header+rule:reviewed-c-api	R metadata predicate does not allocate or signal an R error.
neutral	Rf_isReal	Rboolean (struct SEXPREC *)	r	rule:r-header+rule:reviewed-c-api	R type predicate does not allocate or signal an R error.
neutral	Rf_isString	Rboolean (struct SEXPREC *)	r	rule:r-header+rule:reviewed-c-api	R type predicate does not allocate or signal an R error.
neutral	Rf_isSymbol	Rboolean (struct SEXPREC *)	r	rule:r-header+rule:reviewed-c-api	R type predicate does not allocate or signal an R error.
neutral	Rf_isVectorAtomic	Rboolean (struct SEXPREC *)	r	rule:r-header+rule:reviewed-c-api	R type predicate does not allocate or signal an R error.
r	Rf_isVectorList	Rboolean (struct SEXPREC *)	r	rule:r-header+rule:reviewed-c-api	
r	Rf_lang2	struct SEXPREC *(struct SEXPREC *, struct SEXPREC *)	r	rule:r-header+rule:reviewed-c-api	
r	Rf_mkChar	struct SEXPREC *(const char *)	r	rule:r-header+rule:reviewed-c-api	
r	Rf_mkCharLenCE	struct SEXPREC *(const char *, int, cetype_t)	r	rule:r-header+rule:reviewed-c-api	
r	Rf_mkString	struct SEXPREC *(const char *)	r	rule:r-header+rule:reviewed-c-api	
r	Rf_protect	struct SEXPREC *(struct SEXPREC *)	r	rule:r-header+rule:reviewed-c-api	
r	Rf_setAttrib	struct SEXPREC *(struct SEXPREC *, struct SEXPREC *, struct SEXPREC *)	r	rule:r-header+rule:reviewed-c-api	
r	Rf_translateChar	const char *(struct SEXPREC *)	r	rule:r-header+rule:reviewed-c-api	
r	Rf_translateCharUTF8	const char *(struct SEXPREC *)	r	rule:r-header+rule:reviewed-c-api	
neutral	Rf_unprotect	void (int)	r	rule:r-header+rule:reviewed-c-api	With a valid count on R's main thread, this only decrements the protection stack.
r	Rf_warning	void (const char *, ...)	r	rule:r-header+rule:reviewed-c-api	
neutral	Riconv	unsigned long (void *, const char **, unsigned long *, char **, unsigned long *)	r	rule:r-header+rule:reviewed-c-api	Riconv reports conversion failure through its return value.
neutral+raw-release	Riconv_close	int (void *)	r	rule:r-header+rule:reviewed-c-api	Riconv_close releases a converter and reports failure through its return value.
neutral+raw-acquire	Riconv_open	void *(const char *, const char *)	r	rule:r-header+rule:reviewed-c-api	Riconv_open returns an owned converter or a failure sentinel.
r	SETCAR	struct SEXPREC *(struct SEXPREC *, struct SEXPREC *)	r	rule:r-header+rule:reviewed-c-api	
r	SET_STRING_ELT	void (struct SEXPREC *, long, struct SEXPREC *)	r	rule:r-header+rule:reviewed-c-api	
r	SET_VECTOR_ELT	struct SEXPREC *(struct SEXPREC *, long, struct SEXPREC *)	r	rule:r-header+rule:reviewed-c-api	
r	STRING_ELT	struct SEXPREC *(struct SEXPREC *, long)	r	rule:r-header+rule:reviewed-c-api	
r	STRING_PTR_RO	struct SEXPREC *const *(struct SEXPREC *)	r	rule:r-header+rule:reviewed-c-api	
neutral	TYPEOF	int (struct SEXPREC *)	r	rule:r-header+rule:reviewed-c-api	R inline accessor reads the object type without allocating or signaling an R error.
neutral	UCNV_FROM_U_CALLBACK_SUBSTITUTE_78	void (const void *, UConverterFromUnicodeArgs *, const char16_t *, int, int, UConverterCallbackReason, enum UErrorCode *)	neutral	rule:reviewed-c-api	
neutral	UCNV_TO_U_CALLBACK_SUBSTITUTE_78	void (const void *, UConverterToUnicodeArgs *, const char *, int, UConverterCallbackReason, enum UErrorCode *)	neutral	rule:reviewed-c-api	
neutral	U_FAILURE	signed char (enum UErrorCode)	cxx	clang:not-noexcept	Inline ICU error predicate performs one integer comparison.
neutral	U_SUCCESS	signed char (enum UErrorCode)	cxx	clang:not-noexcept	Inline ICU error predicate performs one integer comparison.
r	VECTOR_ELT	struct SEXPREC *(struct SEXPREC *, long)	r	rule:r-header+rule:reviewed-c-api	
r	XLENGTH	long (struct SEXPREC *)	r	rule:r-header+rule:reviewed-c-api	
neutral	__errno_location	int *(void) noexcept	neutral	clang:no-cxx-propagation	
neutral	_setjmp	int (struct __jmp_buf_tag *) noexcept	neutral	clang:no-cxx-propagation	
neutral	cetype_ext_t::operator!=	_Bool (struct cetype_ext_t) const noexcept	neutral	clang:no-cxx-propagation	
neutral	cetype_ext_t::operator==	_Bool (struct cetype_ext_t) const noexcept	neutral	clang:no-cxx-propagation	
owner	charport::Reader::Reader	void (void) noexcept	owner	clang:cleanup-construction	
neutral	charport::Reader::operator=	class charport::Reader &(class charport::Reader &&) noexcept	neutral	clang:no-cxx-propagation	
r	charport::Reader::reset	void (struct SEXPREC *)	cxx	clang:not-noexcept	charport Reader initialization may raise an R error and does not propagate C++ exceptions.
neutral	charport::Reader::size	long (void) const noexcept	neutral	clang:no-cxx-propagation	
cxx	charport::Reader::view	struct charport_strview (long) const	cxx	clang:not-noexcept	
cxx	charport::Reader::views	void (int, long, const char **, int *, struct cetype_ext_t *) const	cxx	clang:not-noexcept	
owner	charport::StrViews::StrViews	void (long)	owner	clang:cleanup-construction	
neutral	charport::StrViews::encodings	struct cetype_ext_t *(void) noexcept	neutral	clang:no-cxx-propagation	
neutral	charport::StrViews::lengths	int *(void) noexcept	neutral	clang:no-cxx-propagation	
neutral	charport::StrViews::operator[]	struct charport_strview (long) const noexcept	neutral	clang:no-cxx-propagation	
neutral	charport::StrViews::ptrs	const char **(void) noexcept	neutral	clang:no-cxx-propagation	
neutral	charport::StrViews::ptrs	const char *const *(void) const noexcept	neutral	clang:no-cxx-propagation	
cxx	charport::StrViews::resize	void (long)	cxx	clang:not-noexcept	
neutral	charport::StrViews::size	long (void) const noexcept	neutral	clang:no-cxx-propagation	
owner	charport::charvec::Builder::Builder	void (long)	owner	clang:cleanup-construction	
owner	charport::charvec::Builder::release_store	class charport::charvec::Store (void) noexcept		legacy-unobserved	
cxx	charport::charvec::Builder::reserve	char *(long, unsigned long, struct cetype_ext_t)	cxx	clang:not-noexcept	
cxx	charport::charvec::Builder::reset	void (long)	cxx	clang:not-noexcept	
cxx	charport::charvec::Builder::set	void (long, const struct charport_strview &)	cxx	clang:not-noexcept	
cxx	charport::charvec::Builder::set_na	void (long)	cxx	clang:not-noexcept	
r	charport::charvec::Builder::to_sexp	struct SEXPREC *(void) noexcept	neutral	clang:no-cxx-propagation	charport permits R errors during ALTREP wrapping and does not propagate C++ exceptions.
owner	charport::charvec::GrowableBuilder::GrowableBuilder	void (void) noexcept	owner	clang:cleanup-construction	
cxx	charport::charvec::GrowableBuilder::append	void (const char *, unsigned long, struct cetype_ext_t)	cxx	clang:not-noexcept	
cxx	charport::charvec::GrowableBuilder::append	void (const struct charport_strview &)	cxx	clang:not-noexcept	
cxx	charport::charvec::GrowableBuilder::append_reserve	char *(unsigned long, struct cetype_ext_t)	cxx	clang:not-noexcept	
neutral	charport::charvec::GrowableBuilder::operator=	class charport::charvec::GrowableBuilder &(class charport::charvec::GrowableBuilder &&) noexcept	neutral	clang:no-cxx-propagation	
owner	charport::charvec::GrowableBuilder::release_store	class charport::charvec::Store (void) noexcept	owner	clang:cleanup-return	
neutral	charport::charvec::GrowableBuilder::size	unsigned long (void) const noexcept	neutral	clang:no-cxx-propagation	
r	charport::charvec::GrowableBuilder::to_sexp	struct SEXPREC *(void) noexcept	neutral	clang:no-cxx-propagation	charport permits R errors during ALTREP wrapping and does not propagate C++ exceptions.
owner	charport::charvec::Store::Store	void (class charport::charvec::Store &&) noexcept	owner	clang:cleanup-construction	
owner	charport::charvec::Store::Store	void (unsigned long, unsigned long)	owner	clang:cleanup-construction	
owner	charport::charvec::Store::Store	void (void) noexcept	owner	clang:cleanup-construction	
neutral	charport::charvec::Store::operator=	class charport::charvec::Store &(class charport::charvec::Store &&) noexcept	neutral	clang:no-cxx-propagation	
owner	charport::charvec::Store::scalar	class charport::charvec::Store (const char *, unsigned long, struct cetype_ext_t)	owner	clang:cleanup-return	
neutral	charport::charvec::Store::size	unsigned long (void) const noexcept	neutral	clang:no-cxx-propagation	
neutral	charport::charvec::Store::view	struct charport_strview (unsigned long) const noexcept	neutral	clang:no-cxx-propagation	
owner	charport::charvec::components::RecordTable::RecordTable	void (unsigned long)	owner	clang:cleanup-construction	
neutral	charport::charvec::components::RecordTable::operator=	struct charport::charvec::components::RecordTable &(struct charport::charvec::components::RecordTable &&) noexcept	neutral	clang:no-cxx-propagation	
cxx	charport::charvec::components::RecordTable::push_back	void (const struct charport_strview &)		legacy-unobserved	
cxx	charport::charvec::components::RecordTable::reserve	void (unsigned long)		legacy-unobserved	
neutral	charport::charvec::components::RecordTable::set	void (unsigned long, const char *, int, struct cetype_ext_t) noexcept	neutral	clang:no-cxx-propagation	
neutral	charport::charvec::components::RecordTable::view	struct charport_strview (unsigned long) const noexcept	neutral	clang:no-cxx-propagation	
neutral	charport::charvec::components::SliceChain::empty	_Bool (void) const noexcept	neutral	clang:no-cxx-propagation	
neutral	charport::charvec::components::SliceChain::front_data	char *(void) noexcept	neutral	clang:no-cxx-propagation	
cxx	charport::charvec::components::SliceChain::push_front	char *(unsigned long)	cxx	clang:not-noexcept	
neutral	charport::charvec::components::empty_data	const char *(void) noexcept	neutral	clang:no-cxx-propagation	
neutral	charport::charvec::components::na_record	struct charport_strview (void) noexcept	neutral	clang:no-cxx-propagation	
r	charport::charvec::wrap	struct SEXPREC *(class charport::charvec::Store &&) noexcept		legacy-unobserved	charport permits R errors during ALTREP wrapping and does not propagate C++ exceptions.
r	charport::check_abi	_Bool (void)	cxx	clang:not-noexcept	The first ABI check may raise an R error while resolving charport through R_GetCCallable; it does not propagate C++ exceptions.
neutral	charport_strview::is_na	_Bool (void) const noexcept	neutral	clang:no-cxx-propagation	
neutral+raw-release	fclose	int (struct _IO_FILE *)	neutral	rule:reviewed-c-api	Closes and releases an owned FILE handle.
neutral+raw-acquire	fopen	struct _IO_FILE *(const char *, const char *)	neutral	rule:reviewed-c-api	Returns an owned FILE handle that fclose must release.
neutral	fread	unsigned long (void *, unsigned long, unsigned long, struct _IO_FILE *)	neutral	rule:reviewed-c-api	
neutral+raw-release	free	void (void *) noexcept		legacy-unobserved	Releases memory returned by a C allocation function.
neutral	fseek	int (struct _IO_FILE *, long, int)	neutral	rule:reviewed-c-api	
neutral	ftell	long (struct _IO_FILE *)	neutral	rule:reviewed-c-api	
neutral+raw-acquire	icu_78::BreakIterator::createLineInstance	class icu_78::BreakIterator *(const class icu_78::Locale &, enum UErrorCode &)		legacy-unobserved	ICU returns an owned BreakIterator and reports failure through UErrorCode.
neutral	icu_78::BreakIterator::first	int (void)		legacy-unobserved	
neutral	icu_78::BreakIterator::getLocaleID	const char *(ULocDataLocaleType, enum UErrorCode &) const		legacy-unobserved	
neutral	icu_78::BreakIterator::next	int (void)		legacy-unobserved	
neutral	icu_78::BreakIterator::setText	void (struct UText *, enum UErrorCode &)		legacy-unobserved	
neutral	icu_78::Locale::createFromName	class icu_78::Locale (const char *)		legacy-unobserved	
cxx	icu_78::Normalizer2::getNFCInstance	const class icu_78::Normalizer2 *(enum UErrorCode &)	cxx	clang:not-noexcept	
cxx	icu_78::Normalizer2::normalize	class icu_78::UnicodeString &(const class icu_78::UnicodeString &, class icu_78::UnicodeString &, enum UErrorCode &) const	cxx	clang:not-noexcept	
cxx	icu_78::Normalizer2::normalizeUTF8	void (unsigned int, class icu_78::StringPiece, class icu_78::ByteSink &, class icu_78::Edits *, enum UErrorCode &) const	cxx	clang:not-noexcept	
owner	icu_78::RegexMatcher::RegexMatcher	void (const class icu_78::UnicodeString &, unsigned int, enum UErrorCode &)	owner	clang:cleanup-construction	
cxx	icu_78::RegexMatcher::appendReplacement	class icu_78::RegexMatcher &(class icu_78::UnicodeString &, const class icu_78::UnicodeString &, enum UErrorCode &)	cxx	clang:not-noexcept	
cxx	icu_78::RegexMatcher::appendTail	class icu_78::UnicodeString &(class icu_78::UnicodeString &)	cxx	clang:not-noexcept	
cxx	icu_78::RegexMatcher::end	int (enum UErrorCode &) const	cxx	clang:not-noexcept	
cxx	icu_78::RegexMatcher::end	int (int, enum UErrorCode &) const	cxx	clang:not-noexcept	
cxx	icu_78::RegexMatcher::find	signed char (enum UErrorCode &)	cxx	clang:not-noexcept	
neutral	icu_78::RegexMatcher::groupCount	int (void) const	cxx	clang:not-noexcept	ICU accessor reads compiled regular-expression metadata without allocating.
cxx	icu_78::RegexMatcher::pattern	const class icu_78::RegexPattern &(void) const	cxx	clang:not-noexcept	
owner	icu_78::RegexMatcher::replaceAll	class icu_78::UnicodeString (const class icu_78::UnicodeString &, enum UErrorCode &)	owner	clang:cleanup-return	
cxx	icu_78::RegexMatcher::reset	class icu_78::RegexMatcher &(const class icu_78::UnicodeString &)	cxx	clang:not-noexcept	
cxx	icu_78::RegexMatcher::setStackLimit	void (int, enum UErrorCode &)	cxx	clang:not-noexcept	
cxx	icu_78::RegexMatcher::setTimeLimit	void (int, enum UErrorCode &)	cxx	clang:not-noexcept	
cxx	icu_78::RegexMatcher::start	int (enum UErrorCode &) const	cxx	clang:not-noexcept	
cxx	icu_78::RegexMatcher::start	int (int, enum UErrorCode &) const	cxx	clang:not-noexcept	
cxx	icu_78::RegexPattern::groupNumberFromName	int (const char *, int, enum UErrorCode &) const	cxx	clang:not-noexcept	
cxx	icu_78::RegexPattern::patternText	struct UText *(enum UErrorCode &) const	cxx	clang:not-noexcept	
owner	icu_78::StringByteSink<std::basic_string<char>>::StringByteSink	void (class std::basic_string<char> *)	owner	clang:cleanup-construction	
cxx	icu_78::StringPiece::StringPiece	void (const char *)	cxx	clang:not-noexcept	
cxx	icu_78::StringPiece::StringPiece	void (const char *, int)	cxx	clang:not-noexcept	
owner	icu_78::UnicodeSet::UnicodeSet	void (void)	owner	clang:cleanup-construction	
cxx	icu_78::UnicodeSet::applyPattern	class icu_78::UnicodeSet &(const class icu_78::UnicodeString &, enum UErrorCode &)	cxx	clang:not-noexcept	
cxx	icu_78::UnicodeSet::complement	class icu_78::UnicodeSet &(void)	cxx	clang:not-noexcept	
neutral	icu_78::UnicodeSet::contains	signed char (int) const	cxx	clang:not-noexcept	ICU membership test does not allocate or propagate C++ exceptions.
cxx	icu_78::UnicodeSet::freeze	class icu_78::UnicodeSet *(void)	cxx	clang:not-noexcept	
cxx	icu_78::UnicodeSet::isBogus	signed char (void) const	cxx	clang:not-noexcept	
cxx	icu_78::UnicodeSet::setToBogus	void (void)	cxx	clang:not-noexcept	
owner	icu_78::UnicodeString::UnicodeString	void (int, int, int)	owner	clang:cleanup-construction	
owner	icu_78::UnicodeString::UnicodeString	void (void)	owner	clang:cleanup-construction	
cxx	icu_78::UnicodeString::append	class icu_78::UnicodeString &(const char16_t *, int, int)	cxx	clang:not-noexcept	
owner	icu_78::UnicodeString::fromUTF8	class icu_78::UnicodeString (class icu_78::StringPiece)	owner	clang:cleanup-return	
neutral	icu_78::UnicodeString::getBuffer	char16_t *(int)	cxx	clang:not-noexcept	ICU uses a non-throwing allocator and records allocation failure in the string state.
neutral	icu_78::UnicodeString::getBuffer	const char16_t *(void) const	cxx	clang:not-noexcept	ICU accessor returns the existing string buffer without allocating.
cxx	icu_78::UnicodeString::isBogus	signed char (void) const	cxx	clang:not-noexcept	
neutral	icu_78::UnicodeString::length	int (void) const	cxx	clang:not-noexcept	ICU accessor reads the stored string length without allocating.
neutral	icu_78::UnicodeString::operator=	class icu_78::UnicodeString &(class icu_78::UnicodeString &&) noexcept	neutral	clang:no-cxx-propagation	
cxx	icu_78::UnicodeString::releaseBuffer	void (int)	cxx	clang:not-noexcept	
cxx	icu_78::UnicodeString::remove	class icu_78::UnicodeString &(void)	cxx	clang:not-noexcept	
cxx	icu_78::UnicodeString::setTo	class icu_78::UnicodeString &(const class icu_78::UnicodeString &)	cxx	clang:not-noexcept	
cxx	icu_78::UnicodeString::setToBogus	void (void)	cxx	clang:not-noexcept	
neutral	icu_78::UnicodeString::swap	void (class icu_78::UnicodeString &) noexcept	neutral	clang:no-cxx-propagation	
cxx	icu_78::UnicodeString::toUTF8String	class std::basic_string<char> &(class std::basic_string<char> &) const	cxx	clang:not-noexcept	
neutral	longjmp	void (struct __jmp_buf_tag *, int) __attribute__((noreturn)) noexcept	neutral	clang:no-cxx-propagation	
neutral	make_strview	struct charport_strview (const char *, int, struct cetype_ext_t) noexcept	neutral	clang:no-cxx-propagation	
neutral+raw-acquire	malloc	void *(unsigned long) noexcept		legacy-unobserved	Returns owned memory that free must release.
neutral	memchr	const void *(const void *, int, unsigned long) noexcept	neutral	clang:no-cxx-propagation	
neutral	memcmp	int (const void *, const void *, unsigned long) noexcept	neutral	clang:no-cxx-propagation	
neutral	memcpy	void *(void *, const void *, unsigned long) noexcept	neutral	clang:no-cxx-propagation	
neutral	memset	void *(void *, int, unsigned long) noexcept	neutral	clang:no-cxx-propagation	
neutral	pow	double (double, double) noexcept	neutral	clang:no-cxx-propagation	
neutral+raw-acquire+raw-release	realloc	void *(void *, unsigned long) noexcept		legacy-unobserved	May replace and release the original allocation on success; preserves it on allocation failure.
neutral	rewind	void (struct _IO_FILE *)	neutral	rule:reviewed-c-api	
neutral	snprintf	int (char *, unsigned long, const char *, ...) noexcept	neutral	clang:no-cxx-propagation	
neutral	stat	int (const char *, struct stat *) noexcept	neutral	clang:no-cxx-propagation	
neutral	std::__detail::_Node_iterator<std::pair<const charr::base_backend::search_fixed_extract::DirectRepeatKey, SEXPREC *>, false, false>::operator->	struct std::pair<const struct charr::base_backend::search_fixed_extract::DirectRepeatKey, struct SEXPREC *> *(void) const noexcept	neutral	clang:no-cxx-propagation	
neutral	std::__detail::_Node_iterator<std::pair<const charr::shared::FixedExtractRepeatKey, SEXPREC *>, false, false>::operator->	struct std::pair<const struct charr::shared::FixedExtractRepeatKey, struct SEXPREC *> *(void) const noexcept	neutral	clang:no-cxx-propagation	
neutral	std::__detail::operator!=	_Bool (const struct std::__detail::_Node_iterator<struct std::pair<const struct charr::base_backend::search_fixed_extract::DirectRepeatKey, struct SEXPREC *>, false, false> &, const struct std::__detail::_Node_iterator<struct std::pair<const struct charr::base_backend::search_fixed_extract::DirectRepeatKey, struct SEXPREC *>, false, false> &) noexcept	neutral	clang:no-cxx-propagation	
neutral	std::__detail::operator!=	_Bool (const struct std::__detail::_Node_iterator<struct std::pair<const struct charr::shared::FixedExtractRepeatKey, struct SEXPREC *>, false, false> &, const struct std::__detail::_Node_iterator<struct std::pair<const struct charr::shared::FixedExtractRepeatKey, struct SEXPREC *>, false, false> &) noexcept	neutral	clang:no-cxx-propagation	
owner	std::__exception_ptr::exception_ptr::exception_ptr	void (const class std::__exception_ptr::exception_ptr &) noexcept	owner	clang:cleanup-construction	
owner	std::__exception_ptr::exception_ptr::exception_ptr	void (void) noexcept	owner	clang:cleanup-construction	
neutral	std::__exception_ptr::exception_ptr::operator bool	_Bool (void) const noexcept	neutral	clang:no-cxx-propagation	
neutral	std::__exception_ptr::exception_ptr::operator=	class std::__exception_ptr::exception_ptr &(class std::__exception_ptr::exception_ptr &&) noexcept	neutral	clang:no-cxx-propagation	
neutral	std::array<unsigned char, 128>::data	const unsigned char *(void) const noexcept	neutral	clang:no-cxx-propagation	
neutral	std::array<unsigned char, 128>::operator[]	unsigned char &(unsigned long) noexcept	neutral	clang:no-cxx-propagation	
neutral	std::array<unsigned char, 128>::size	unsigned long (void) const noexcept	neutral	clang:no-cxx-propagation	
owner	std::bad_alloc::bad_alloc	void (void) noexcept	owner	clang:cleanup-construction	
cxx	std::basic_string<char>::append	class std::basic_string<char> &(const char *, unsigned long)	cxx	clang:not-noexcept	
cxx	std::basic_string<char>::append	class std::basic_string<char> &(unsigned long, char)	cxx	clang:not-noexcept	
cxx	std::basic_string<char>::assign	class std::basic_string<char> &(const char *, unsigned long)	cxx	clang:not-noexcept	
owner	std::basic_string<char>::basic_string	void (class std::basic_string<char> &&) noexcept	owner	clang:cleanup-construction	
owner	std::basic_string<char>::basic_string	void (void) noexcept	owner	clang:cleanup-construction	
neutral	std::basic_string<char>::c_str	const char *(void) const noexcept	neutral	clang:no-cxx-propagation	
neutral	std::basic_string<char>::clear	void (void) noexcept	neutral	clang:no-cxx-propagation	
neutral	std::basic_string<char>::data	char *(void) noexcept	neutral	clang:no-cxx-propagation	
neutral	std::basic_string<char>::data	const char *(void) const noexcept	neutral	clang:no-cxx-propagation	
neutral	std::basic_string<char>::empty	_Bool (void) const noexcept	neutral	clang:no-cxx-propagation	
cxx	std::basic_string<char>::operator=	class std::basic_string<char> &(const char *)	cxx	clang:not-noexcept	
cxx	std::basic_string<char>::operator=	class std::basic_string<char> &(const class std::basic_string<char> &)	cxx	clang:not-noexcept	
cxx	std::basic_string<char>::operator[]	char &(unsigned long)	cxx	clang:not-noexcept	
cxx	std::basic_string<char>::push_back	void (char)	cxx	clang:not-noexcept	
cxx	std::basic_string<char>::reserve	void (unsigned long)	cxx	clang:not-noexcept	
cxx	std::basic_string<char>::resize	void (unsigned long)	cxx	clang:not-noexcept	
neutral	std::basic_string<char>::size	unsigned long (void) const noexcept	neutral	clang:no-cxx-propagation	
neutral	std::basic_string_view<char>::basic_string_view	void (const char *) noexcept		legacy-unobserved	
neutral	std::basic_string_view<char>::basic_string_view	void (const class std::basic_string_view<char> &) noexcept	neutral	clang:no-cxx-propagation	
neutral	std::basic_string_view<char>::data	const char *(void) const noexcept	neutral	clang:no-cxx-propagation	
neutral	std::basic_string_view<char>::size	unsigned long (void) const noexcept	neutral	clang:no-cxx-propagation	
owner	std::current_exception	class std::__exception_ptr::exception_ptr (void) noexcept	owner	clang:cleanup-return	
neutral	std::exception::what	const char *(void) const noexcept	neutral	clang:no-cxx-propagation	
owner	std::invalid_argument::invalid_argument	void (const char *)	owner	clang:cleanup-construction	
owner	std::length_error::length_error	void (const char *)	owner	clang:cleanup-construction	
owner	std::logic_error::logic_error	void (const char *)	owner	clang:cleanup-construction	
neutral	std::min	const int &(const int &, const int &)	cxx	clang:not-noexcept	Integer comparison and reference selection cannot throw.
neutral	std::min	const unsigned long &(const unsigned long &, const unsigned long &)	cxx	clang:not-noexcept	Integer comparison and reference selection cannot throw.
neutral	std::move	class charport::charvec::Store &&(class charport::charvec::Store &) noexcept	neutral	clang:no-cxx-propagation	
neutral	std::numeric_limits<int>::max	int (void) noexcept	neutral	clang:no-cxx-propagation	
neutral	std::numeric_limits<unsigned long>::max	unsigned long (void) noexcept	neutral	clang:no-cxx-propagation	
owner	std::out_of_range::out_of_range	void (const char *)	owner	clang:cleanup-construction	
cxx	std::rethrow_exception	void (class std::__exception_ptr::exception_ptr) __attribute__((noreturn))	cxx	clang:not-noexcept	
cxx	std::reverse_copy	char *(const char *, const char *, char *)	cxx	clang:not-noexcept	
owner	std::runtime_error::runtime_error	void (const char *)	owner	clang:cleanup-construction	
owner	std::runtime_error::runtime_error	void (const class std::basic_string<char> &)	owner	clang:cleanup-construction	
